Worker,Colony,Worker,Species,Task,Femur,Tibia,Thorax,Scape,Head Width,Head Height,Log_Femur,Log_HW ,Log_Tibia,Log_Scape,Log_HH,Log_Thorax,Group
SYLC23W6,SYLC23,6,Formica aserva,HC,1.792,1.798,2.265,1.564,1.507,1.618,0.253338005,0.178113252,0.254789687,0.194236749,0.208978517,0.355068206,Mound-building
SYLC23W7,SYLC23,7,Formica aserva,HC,1.495,1.541,1.87,1.219,1.232,1.357,0.174641193,0.090610708,0.187802639,0.086003706,0.132579848,0.271841607,Mound-building
SYLC23W10,SYLC23,10,Formica aserva,NB,1.667,1.642,2.085,1.371,1.415,1.418,0.2219356,0.15075644,0.215373153,0.137037455,0.151676231,0.319106059,Mound-building
SYLC23W11,SYLC23,11,Formica aserva,NB,2.036,2.091,2.509,1.712,1.711,1.844,0.308777774,0.23325001,0.320354033,0.23350376,0.265760917,0.399500661,Mound-building
SYLC23W12,SYLC23,12,Formica aserva,NB,1.854,1.791,2.227,1.584,1.51,1.654,0.26810973,0.178976947,0.253095586,0.199755177,0.218535505,0.347720217,Mound-building
SYLC23W13,SYLC23,13,Formica aserva,NB,2.045,2.142,2.772,1.705,1.814,1.901,0.310693312,0.258637283,0.330819466,0.231724383,0.278982117,0.442793226,Mound-building
SYLC23W14,SYLC23,14,Formica aserva,NB,1.594,1.657,1.946,1.362,1.349,1.422,0.202488317,0.13001195,0.219322508,0.134177108,0.152899596,0.289142836,Mound-building
SYLC23W18,SYLC23,18,Formica aserva,PF,2.035,2.043,2.467,1.69,1.681,1.777,0.308564414,0.225567713,0.310268367,0.227886705,0.249687428,0.392169149,Mound-building
SYLC23W19,SYLC23,19,Formica aserva,PF,2.064,2.192,2.679,1.631,1.759,1.757,0.314709693,0.245265839,0.34084055,0.212453961,0.244771761,0.427972714,Mound-building
SYLC23W20,SYLC23,20,Formica aserva,PF,1.627,1.711,2.134,1.349,1.4,1.541,0.211387553,0.146128036,0.23325001,0.13001195,0.187802639,0.329194415,Mound-building
SYLC23W21,SYLC23,21,Formica aserva,PF,1.868,1.867,2.414,1.578,1.592,1.587,0.271376872,0.201943063,0.271144318,0.198106999,0.200576927,0.382737266,Mound-building
SYLC23W22,SYLC23,22,Formica aserva,PF,2.149,2.19,2.491,1.675,1.809,1.837,0.332236415,0.257438567,0.340444115,0.224014811,0.264109156,0.396373728,Mound-building
SYLC23W2,SYLC23,,Formica aserva,HC,,,,,1.743,,,,,,,,Mound-building
SYLC23W3,SYLC23,,Formica aserva,HC,,,,,1.659,,,,,,,,Mound-building
SYLC23W4,SYLC23,,Formica aserva,HC,,,,,1.44,,,,,,,,Mound-building
SYLC23W5,SYLC23,,Formica aserva,HC,,,,,1.508,,,,,,,,Mound-building
SYLC23W6,SYLC23,,Formica aserva,HC,,,,,1.486,,,,,,,,Mound-building
SYLC23W7,SYLC23,,Formica aserva,HC,,,,,1.228,,,,,,,,Mound-building
