worker_ID,head width (mm),task,painted,,,,,
SYLC5W23,1.463,PF,N,,,,,
SYLC5W24,1.489,PF,N,,,,,
SYLC5W25,1.483,PF,N,,,,,
,,,,,,,,
BLAC1W2,1.83,HC,Y,obscuriventris,,,,
BLAC1W3,1.203,HC,Y,,,,,
BLAC1W4,1.224,HC,Y,,,,,
BLAC1W5,1.615,HC,Y,,,,,
BLAC1W6,1.273,HC,Y,,,,,
BLAC1W7,1.127,HC,Y,,,,,
BLAC1W8,1.211,HC,Y,,,,,
BLAC1W9,1.209,HC,Y,,,,,
BLAC1W10,1.755,NB,Y,,,,,
BLAC1W11,1.817,NB,Y,,,,,
BLAC1W12,1.919,NB,Y,,,,,
BLAC1W13,1.79,NB,Y,,,,,
BLAC1W14,1.727,NB,Y,,,,,
BLAC1W15,1.865,NB,Y,,,,,
BLAC1W16,1.877,NB,Y,,,,,
BLAC1W17,1.878,NB,Y,,,,,
BLAC1W18,1.702,NB,N,,,,,
BLAC1W19,1.821,PF,N,,,,,
BLAC1W20,1.905,PF,N,,,,,
BLAC1W21,1.8,PF,N,,,,,
BLAC1W22,1.641,PF,N,,,,,
BLAC1W23,1.856,PF,N,,,,,
BLAC1W24,1.827,PF,N,,,,,
BLAC1W25,1.694,PF,N,,,,,
BLAC1W26,2.002,PF,N,,,,,
,,,,,,,,
SYLC2W2,1.112,HC,Y,glacialis,,,,
SYLC2W3,1.304,HC,Y,,,,,
SYLC2W4,1.131,HC,Y,,,,,
SYLC2W5,1.369,HC,Y,,,,,
SYLC2W6,1.293,HC,Y,,,,,
SYLC2W7,1.3,HC,Y,,,,,
SYLC2W8,1.424,HC,Y,,,,,
SYLC2W9,1.364,HC,Y,,,,,
SYLC2W10,1.398,NB,Y,,,,,
SYLC2W11,1.499,NB,N,,,,,
SYLC2W12,1.49,NB,N,,,,,
SYLC2W13,1.328,NB,N,,,,,
SYLC2W14,1.24,NB,N,,,,,
SYLC2W15,1.422,NB,N,,,,,
SYLC2W16,1.384,NB,N,,,,,
SYLC2W17,1.281,NB,N,,,,,
SYLC2W18,1.367,PF,Y,,,,,
SYLC2W19,1.293,PF,Y,,,,,
SYLC2W20,1.337,PF,N,,,,,
SYLC2W21,1.378,PF,N,,,,,
SYLC2W22,1.501,PF,N,,,,,
SYLC2W23,1.375,PF,N,,,,,
